speed_p	speed_r	speed_d	distance_d_p	distance_d_r	distance_d1_p	distance_d2_r	angle_d	angle_d1_p	angle_d2_r	possTimePre	possessionTime	reward	flag
4.83	2.26	1.52	1.5	4.8	1.5	2.92	1.96	1.96	1.86	1.36	19.12	0	1
7.04	0.79	1.8	2.78	8.49	2.78	2.52	0.59	0.59	2.23	0.52	19.96	0	0
2.46	5.26	3.95	12.55	12.3	1.2	12.3	0.2	1.46	0.21	2.04	21.92	0	1
3.95	5.1	0.9	24.78	16.58	2.96	0.98	0.34	0.56	1.18	3.04	27.16	0	0
2.85	1.58	2.66	31.53	13.37	19.2	5.25	0	0.28	1.63	14.2	27.44	0	0
1.68	0.9	2.5	10.92	6.64	4.65	6.64	0.28	1.2	0.46	3.92	13.64	0	1
2.37	3.29	4.43	4.43	16.56	4.43	14.14	1.03	1.03	1.33	3.48	18.32	0	1
1.12	0.79	1.5	12.74	10.34	6.58	4.24	0.32	0.77	2.14	2.44	22.32	0	1
3.01	2.37	1.82	3.78	8.68	3.78	3.22	0.36	0.36	1.4	1.72	24.44	0	1
0.75	6.05	2.37	1.08	11.47	1.08	4.8	1.53	1.53	0.6	0.72	28.04	0	1
1.6	1.03	0.56	39.49	20.37	7.78	3.86	0.02	0.27	0.44	1.6	74.4	0	0
1.58	11.82	5.3	10.39	10.42	8.92	4.32	0.29	0.78	2.54	0	1.48	0	1
3.29	6.86	3.48	17.68	14.04	4.3	3.28	0.1	0.29	3.09	2.56	5.52	0	1
6.67	7.62	8.55	10.11	5.05	6.61	5.05	0.33	2.55	0.7	0.56	7.88	0	1
4.76	3.09	1.12	3.91	8.98	2.33	5.37	0.24	1.93	2.8	7.48	12.76	0	1
4.67	2.51	5.88	4.6	8.15	3.61	8.15	0.45	2.58	0.25	1.64	15.96	0	1
2.8	7.35	5.2	5.92	22.49	5.92	22.49	2.72	2.72	0.11	1.04	18.84	0	1
2.02	3.81	3.76	3.84	7.16	3.84	1.04	0.12	0.12	2.88	2.44	23.56	0	1
1.35	3.55	0.71	0.72	12.73	0.72	6.48	0.36	0.36	0.47	2.6	26.16	0	0
2.25	0.56	0.35	0.85	9.82	0.85	9.82	2.13	2.13	0.07	3.76	4.68	0	1
1.5	7.36	3.25	56.39	24.8	5.89	3.72	0.03	0.1	1.1	1.72	11.12	0	0
0.79	1.52	1.03	31.44	4.12	7.54	4.12	0.1	0.67	2.25	7.2	12.2	0	0
11.32	3.54	1.82	3.42	4.94	3.42	3.54	1.48	1.48	2.56	0.36	1.52	0	1
2.14	0.5	3.76	3.11	7.99	2.24	7.99	0.01	1.92	0.01	0	2.28	0	1
4.19	0.56	4.01	6.18	4.8	2.47	4.8	0.74	2.25	1.05	2	5.64	0	1
3.95	1.46	3.02	6.02	6.78	6.02	6.78	1.05	1.05	0.88	1.2	7.4	0	1
2.5	3.76	2.61	15.31	10.77	2.85	10.77	0.04	1.83	0.05	1.4	10.48	0	1
8.28	7.62	3.36	4.25	2.94	4.25	2.94	0.76	0.76	1.64	1.52	12.12	0	1
3.88	3.36	3.82	3.26	11.08	3.26	7.62	1.33	1.33	1.51	2.04	14.88	0	1
2.14	0.35	1.8	5.22	12.6	5.22	12.6	1.8	1.8	0.42	1.6	17.12	0	1
4.81	0.9	1.06	7.45	8.8	3.2	8.8	0.2	2.6	0.17	3.04	22.36	0	1
3.95	2.85	2.76	1.34	10.39	1.34	7.69	0.29	0.29	0.53	1.72	25.2	0	1
3.58	6.37	5.02	6.8	17.3	6.8	17.3	2.24	2.24	0.31	0.48	27.64	0	1
1.35	1.12	2.85	13.3	4.04	8.19	4.04	0.31	0.9	1.49	0	1.36	0	0
1.06	2.25	2.36	5.83	3.45	1.61	3.45	0.36	2.52	0.65	0.04	0.92	0	1
0.9	1.12	2.36	1.7	7.52	1.7	6.3	0.58	0.58	2.2	0.44	1.88	0	1
1.82	1.12	4.16	6.53	14.47	1.86	4.12	0.05	0.72	0.96	0.36	3.28	0	0
3.47	6.05	2.02	3.69	6.64	2.56	6.64	0.44	1.6	0.24	1.12	1.84	0	0
2.02	0.56	6.05	2.33	3.83	2.33	3.83	0.2	0.2	0.12	0.12	0.64	0	1
3.34	1.46	1.9	3.71	16.3	3.71	14.86	2.3	2.3	0.78	3.32	4.56	0	1
2.06	3.18	3.82	13.32	9.74	11.78	9.74	0.58	1.32	0.84	1.16	6.44	0	1
6.37	0.56	1.5	14.63	21.95	2.3	21.95	0.22	0.11	0.15	0.76	6.8	1	0
3.91	7.42	3.26	5.52	3.36	1.98	3.36	0.11	1.58	0.17	2.8	4.08	0	0
3.36	3.82	4.74	1.44	8.94	1.44	8.3	2.63	2.63	0.45	2.32	3	0	1
4.91	6.49	5.06	1	2.1	1	2.1	2.07	2.07	2.71	6.44	9.44	0	0
